contig	taille	Taux GC
bcontig 1	91	47
contig 2	182	58
contig 3	183	78
contig 4	103	41
contig 5	83	35
contig 6	90	38
contig 7	100	46
contig 8	88	34
contig 9	122	41
contig 10	110	41
contig 11	140	61
contig 12	96	36
contig 13	120	45
contig 14	114	45
contig 15	79	51
contig 16	238	99
contig 17	143	79
contig 18	97	50
contig 19	143	77
contig 20	82	37
contig 21	209	95
contig 22	105	40
contig 23	150	73
contig 24	102	48
contig 25	101	37
contig 26	88	38
contig 27	151	54
contig 28	137	82
contig 29	97	43
contig 30	112	29
contig 31	70	27
contig 32	125	56
contig 33	83	34
contig 34	95	31
contig 35	201	77
contig 36	203	61
contig 37	69	55
contig 38	153	56
contig 39	75	33
contig 40	96	45
contig 41	52	23
contig 42	74	34
contig 43	96	61
contig 44	115	50
contig 45	87	39
contig 46	96	47
contig 47	82	37
contig 48	125	50
contig 49	131	47
contig 50	102	50
contig 51	70	33
contig 52	80	35
contig 53	99	42
contig 54	124	50
contig 55	108	49
contig 56	142	58
contig 57	87	32
contig 58	133	54
contig 59	112	37
contig 60	90	36
contig 61	94	42
contig 62	95	42
contig 63	103	46
contig 64	185	110
contig 65	142	59
contig 66	99	40
contig 67	150	74
contig 68	84	29
contig 69	46	23
contig 70	110	38
contig 71	80	38
contig 72	134	67
contig 73	113	60
contig 74	93	42
contig 75	179	66
contig 76	82	38
contig 77	106	45
contig 78	61	28
contig 79	157	49
contig 80	111	77
contig 81	92	44
contig 82	183	84
contig 83	51	20
contig 84	143	50
contig 85	87	35
contig 86	102	64
contig 87	51	15
contig 88	116	54
contig 89	107	46
contig 90	76	35
contig 91	73	35
contig 92	104	38
contig 93	201	91
contig 94	85	27
contig 95	99	41
contig 96	108	42
contig 97	63	21
contig 98	131	60
contig 99	62	16
contig 100	111	45
contig 101	121	47
contig 102	109	47
contig 103	70	26
contig 104	148	65
contig 105	105	49
contig 106	103	73
contig 107	105	39
contig 108	104	44
contig 109	92	38
contig 110	80	31
contig 111	120	27
contig 112	101	48
contig 113	69	31
contig 114	76	29
contig 115	92	70
contig 116	69	25
contig 117	94	45
contig 118	55	19
contig 119	138	93
contig 120	112	43
contig 121	78	37
contig 122	111	36
contig 123	104	33
contig 124	136	58
contig 125	104	48
contig 126	72	25
contig 127	88	42
contig 128	76	29
contig 129	120	51
contig 130	114	49
contig 131	105	52
contig 132	100	39
contig 133	114	48
contig 134	69	29
contig 135	112	46
contig 136	117	58
contig 137	106	48
contig 138	79	43
contig 139	117	60
contig 140	100	67
contig 141	146	63
contig 142	113	52
contig 143	120	53
contig 144	155	63
contig 145	88	36
contig 146	121	56
contig 147	98	47
contig 148	100	50
contig 149	81	36
contig 150	60	25
contig 151	80	37
contig 152	56	23
contig 153	109	48
contig 154	89	49
contig 155	179	80
contig 156	107	47
contig 157	99	38
contig 158	101	36
contig 159	125	58
contig 160	80	33
contig 161	93	53
contig 162	57	27
contig 163	79	40
contig 164	221	72
contig 165	96	40
contig 166	94	43
contig 167	119	39
contig 168	89	32
contig 169	81	42
contig 170	94	37
contig 171	115	53
contig 172	92	38
contig 173	117	51
contig 174	215	89
contig 175	83	25
contig 176	111	42
contig 177	104	34
contig 178	76	35
contig 179	204	69
contig 180	159	66
contig 181	123	44
contig 182	87	24
contig 183	100	40
contig 184	90	42
contig 185	93	39
contig 186	67	27
contig 187	138	54
contig 188	83	30
contig 189	81	26
contig 190	77	35
contig 191	101	47
contig 192	78	33
contig 193	82	38
contig 194	131	51
contig 195	96	33
contig 196	69	33
contig 197	115	55
contig 198	90	46
contig 199	154	70
contig 200	77	38
contig 201	93	39
contig 202	189	81
contig 203	84	33
contig 204	96	36
contig 205	109	62
contig 206	81	38
contig 207	106	55
contig 208	131	39
contig 209	94	43
contig 210	75	27
contig 211	109	40
contig 212	120	67
contig 213	128	73
contig 214	77	30
contig 215	121	44
contig 216	72	36
contig 217	139	67
contig 218	71	35
contig 219	106	47
contig 220	84	33
contig 221	81	29
contig 222	91	32
contig 223	98	43
contig 224	104	35
contig 225	84	39
contig 226	130	41
contig 227	94	44
contig 228	166	69
contig 229	138	57
contig 230	90	41
contig 231	95	45
contig 232	94	43
contig 233	98	54
contig 234	92	38
contig 235	130	43
contig 236	79	34
contig 237	127	59
contig 238	203	89
contig 239	92	37
contig 240	127	60
contig 241	120	47
contig 242	95	47
contig 243	174	61
contig 244	115	53
contig 245	155	56
contig 246	84	40
contig 247	82	43
contig 248	103	41
contig 249	94	46
contig 250	101	34
contig 251	90	34
contig 252	73	47
contig 253	110	47
contig 254	125	46
contig 255	82	44
contig 256	152	37
contig 257	80	35
contig 258	95	37
contig 259	61	30
contig 260	106	39
contig 261	68	27
contig 262	95	34
contig 263	114	47
contig 264	133	59
contig 265	93	38
contig 266	97	41
contig 267	99	43
contig 268	133	54
contig 269	118	40
contig 270	157	61
contig 271	188	80
contig 272	94	49
contig 273	126	34
contig 274	247	86
contig 275	101	32
contig 276	104	74
contig 277	94	32
contig 278	149	52
contig 279	111	36
contig 280	139	66
contig 281	95	31
contig 282	87	24
contig 283	107	78
contig 284	115	35
contig 285	133	65
contig 286	112	38
contig 287	100	48
contig 288	128	53
contig 289	90	37
contig 290	92	37
contig 291	137	66
contig 292	90	37
contig 293	153	64
contig 294	84	38
contig 295	80	32
contig 296	82	23
contig 297	92	47
contig 298	108	76
contig 299	101	41
contig 300	94	61
contig 301	173	61
contig 302	112	47
contig 303	107	40
contig 304	106	41
contig 305	81	33
contig 306	118	39
contig 307	95	45
contig 308	90	40
contig 309	96	49
contig 310	94	41
contig 311	99	40
contig 312	121	43
contig 313	89	44
contig 314	94	37
contig 315	99	56
contig 316	70	30
contig 317	90	46
contig 318	233	90
contig 319	118	57
contig 320	118	39
contig 321	76	37
contig 322	87	33
contig 323	105	50
contig 324	117	46
contig 325	88	42
contig 326	179	67
contig 327	262	96
contig 328	166	62
contig 329	200	100
contig 330	128	44
contig 331	111	41
contig 332	119	44
contig 333	150	60
contig 334	113	48
contig 335	94	41
contig 336	91	43
contig 337	174	58
contig 338	86	36
contig 339	187	65
contig 340	73	27
contig 341	92	36
contig 342	114	43
contig 343	80	35
contig 344	153	54
contig 345	77	42
contig 346	92	40
